name1,name2,soundex_ratio,metaphone_ratio,levenshtein_ratio,jaro_winkler_ratio,cosine_similarity,euclidean_similarity,manhattan_similarity,pearson_similarity
charaN,Praveen,0.5,0.57,0.2857142857142857,0.5317460317460317,0.3859235942363739,0.47433366830579254,0.05441710352897644,0.6927040270084035
charaN,Priyanshu,0.5,0.5,0.2222222222222222,0.5,0.45969197154045105,0.4903097775693339,0.05926530063152313,0.7296898041820441
charaN,Kshitij,0.25,0.29,0.1428571428571429,0.4365079365079365,0.3576050400733948,0.4687165027209066,0.05284487456083298,0.6786669623758712
charaN,Arushi,0.5,0.33,0.0,0.5555555555555555,0.3723022937774658,0.47159927805789836,0.05398431047797203,0.6860020038035657
charaN,Ishan,0.5,0.67,0.33333333333333337,0.7000000000000001,0.3390846252441406,0.4651792435074546,0.05204224959015846,0.6694280885800907
charaN,Garima,0.75,0.33,0.16666666666666663,0.6666666666666666,0.40455955266952515,0.4781772211355202,0.05492999777197838,0.7021178844315799
charaN,Manish,0.5,0.33,0.0,0.4444444444444444,0.3129207491874695,0.4603531983365486,0.05217787250876427,0.6562481034192231
charaN,Vaishnavi,0.25,0.57,0.11111111111111116,0.5370370370370371,0.40818920731544495,0.4789400958336031,0.055779922753572464,0.7040449569246334
charaN,Shreyansh,0.5,0.75,0.33333333333333337,0.6203703703703703,0.4412548840045929,0.4861178727220309,0.05647064000368118,0.7206239610400615
charaN,Atul,0.25,0.0,0.16666666666666663,0.47222222222222215,0.34195584058761597,0.4657208651031912,0.05234847590327263,0.6708304151055131
charaN,Sarvesh,0.25,0.29,0.1428571428571429,0.5396825396825397,0.3468902111053467,0.466657387600074,0.05396239086985588,0.6733218223828317
charaN,Vidya,0.25,0.0,0.16666666666666663,0.45555555555555555,0.2731330990791321,0.45336899058722213,0.05041242390871048,0.6363258740561548
charaN,Shubhangi,0.25,0.5,0.33333333333333337,0.611111111111111,0.37644821405410767,0.47242503231917804,0.053791750222444534,0.6882429358854338
charaN,Mohsin,0.5,0.33,0.16666666666666663,0.5555555555555555,0.26494336128234863,0.45198101019917025,0.050138071179389954,0.63239411545905
charaN,Saran,0.75,0.67,0.6666666666666667,0.8222222222222223,0.45744991302490234,0.48979235313687863,0.0584581233561039,0.7284927867000022
charaN,Vikash,0.25,0.33,0.0,0.4444444444444444,0.37224483489990234,0.4715878512977873,0.053606145083904266,0.6860192127592484
charaN,Aayush,0.25,0.4,0.0,0.4444444444444444,0.32216084003448486,0.46203547677360457,0.053061630576848984,0.6610308921895012
charaN,Akhilesh,0.0,0.25,0.125,0.3611111111111111,0.26327213644981384,0.4516997633378947,0.049443669617176056,0.631589542529909
charaN,Nitin,0.5,0.33,0.16666666666666663,0.45555555555555555,0.3601219654083252,0.4692053452419773,0.05486759915947914,0.6799465036249401
